Country Name,Region,Year,Index
Myanmar,Southeast Asia,2015,3.184504182
Nepal,South Asia,2015,3.10257173
Oman,West Asia,2015,2.504763734
Pakistan,South Asia,2015,7.99900134
Philippines,Southeast Asia,2015,8.254656517
Qatar,West Asia,2015,2.945092953
Russian Federation,North Asia,2015,10.27062835
Saudi Arabia,West Asia,2015,5.14602925
Singapore,Southeast Asia,2015,13.46847806
Sri Lanka,South Asia,2015,5.709059247
Thailand,Southeast Asia,2015,18.62368779
Turkey,West Asia,2015,24.10604338
United Arab Emirates,West Asia,2015,15.09906893
Vietnam,Southeast Asia,2015,12.47824186
Yemen,West Asia,2015,1.434176356
Afghanistan,South Asia,2016,1.779708024
Armenia,West Asia,2016,1.905475308
Azerbaijan,West Asia,2016,1.661664633
Bahrain,West Asia,2016,2.537268042
