country,Indicator Name,region,year,ExportValueIndex
Maldives,Export value index (2000 = 100),South Asia,2009,70.5020226086
Mongolia,Export value index (2000 = 100),East Asia,2009,40.7470070517
Myanmar,Export value index (2000 = 100),Southeast Asia,2009,58.287309257
Nepal,Export value index (2000 = 100),South Asia,2009,114.1433861902
Oman,Export value index (2000 = 100),West Asia,2009,86.6098104684
Pakistan,Export value index (2000 = 100),South Asia,2009,79.3290277553
Philippines,Export value index (2000 = 100),Southeast Asia,2009,65.3367542012
Qatar,Export value index (2000 = 100),West Asia,2009,61.570448299
Russian Federation,Export value index (2000 = 100),,2009,88.8609011347
Saudi Arabia,Export value index (2000 = 100),West Asia,2009,94.479910729
Singapore,Export value index (2000 = 100),Southeast Asia,2009,76.7469785378
Sri Lanka,Export value index (2000 = 100),South Asia,2009,69.6439576781
Syrian Arab Republic,Export value index (2000 = 100),,2009,1224.4089512627
Tajikistan,Export value index (2000 = 100),Central Asia,2009,113.4403772355
Thailand,Export value index (2000 = 100),Southeast Asia,2009,71.1224541907
Turkey,Export value index (2000 = 100),West Asia,2009,67.6521280971
Turkmenistan,Export value index (2000 = 100),Central Asia,2009,49.9999999875
United Arab Emirates,Export value index (2000 = 100),West Asia,2009,63.8985047507
Uzbekistan,Export value index (2000 = 100),Central Asia,2009,113.6792273876
Vietnam,Export value index (2000 = 100),Southeast Asia,2009,35.2305875728
Yemen,Export value index (2000 = 100),West Asia,2009,1227.587877744
Afghanistan,Export value index (2000 = 100),South Asia,2010,67.9875044866
Armenia,Export value index (2000 = 100),,2010,68.0945456523
Azerbaijan,Export value index (2000 = 100),,2010,159.5681491252
Bahrain,Export value index (2000 = 100),West Asia,2010,90.513094546
Bangladesh,Export value index (2000 = 100),South Asia,2010,59.2809470375
Bhutan,Export value index (2000 = 100),South Asia,2010,116.7814492913
Brunei,Export value index (2000 = 100),,2010,140.2163692039
Cambodia,Export value index (2000 = 100),Southeast Asia,2010,60.2078517611
China,Export value index (2000 = 100),East Asia,2010,69.3985576178
Cyprus,Export value index (2000 = 100),,2010,42.5500653788
Georgia,Export value index (2000 = 100),,2010,76.0820252167
"Hong Kong, China",Export value index (2000 = 100),,2010,78.4922811953
India,Export value index (2000 = 100),South Asia,2010,84.4748099575
Indonesia,Export value index (2000 = 100),Southeast Asia,2010,105.1259573239
"Iran, Islamic Rep.",Export value index (2000 = 100),,2010,144.1707577231
Iraq,Export value index (2000 = 100),West Asia,2010,91.1518642018
Israel,Export value index (2000 = 100),West Asia,2010,91.1799712539
Japan,Export value index (2000 = 100),East Asia,2010,123.1793122939
Jordan,Export value index (2000 = 100),West Asia,2010,89.7275165026
Kazakhstan,Export value index (2000 = 100),Central Asia,2010,130.4968652979
"Korea, Rep.",Export value index (2000 = 100),East Asia,2010,88.5388214478
Kuwait,Export value index (2000 = 100),West Asia,2010,129.2961632446
Kyrgyz Republic,Export value index (2000 = 100),Central Asia,2010,121.8190647806
Lao PDR,Export value index (2000 = 100),,2010,47.8024692576
Lebanon,Export value index (2000 = 100),West Asia,2010,126.1075855306
Malaysia,Export value index (2000 = 100),Southeast Asia,2010,99.33007836
Maldives,Export value index (2000 = 100),South Asia,2010,82.3914169839
Mongolia,Export value index (2000 = 100),East Asia,2010,62.0906774056
Myanmar,Export value index (2000 = 100),Southeast Asia,2010,75.7829343514
Nepal,Export value index (2000 = 100),South Asia,2010,118.7449439478
Oman,Export value index (2000 = 100),West Asia,2010,114.6423242511
Pakistan,Export value index (2000 = 100),South Asia,2010,96.9231939622
Philippines,Export value index (2000 = 100),Southeast Asia,2010,87.5402596816
Qatar,Export value index (2000 = 100),West Asia,2010,96.1439533732
Russian Federation,Export value index (2000 = 100),,2010,117.3426200924
Saudi Arabia,Export value index (2000 = 100),West Asia,2010,123.3813878168
Singapore,Export value index (2000 = 100),Southeast Asia,2010,100.079677066
Sri Lanka,Export value index (2000 = 100),South Asia,2010,81.5635518995
Syrian Arab Republic,Export value index (2000 = 100),,2010,1443.3437105507
Tajikistan,Export value index (2000 = 100),Central Asia,2010,134.2128901649
Thailand,Export value index (2000 = 100),Southeast Asia,2010,90.199206673
Turkey,Export value index (2000 = 100),West Asia,2010,75.4282850637
Turkmenistan,Export value index (2000 = 100),Central Asia,2010,64.9999999937
United Arab Emirates,Export value index (2000 = 100),West Asia,2010,71.2202084272
Uzbekistan,Export value index (2000 = 100),Central Asia,2010,123.8453695738
Vietnam,Export value index (2000 = 100),Southeast Asia,2010,44.5727455219
Yemen,Export value index (2000 = 100),West Asia,2010,1262.6019403689
Afghanistan,Export value index (2000 = 100),South Asia,2011,65.7766382808
Armenia,Export value index (2000 = 100),,2011,89.8317750799
Azerbaijan,Export value index (2000 = 100),,2011,207.8970365549
Bahrain,Export value index (2000 = 100),West Asia,2011,118.8012542899
Bangladesh,Export value index (2000 = 100),South Asia,2011,75.4792502484
Bhutan,Export value index (2000 = 100),South Asia,2011,122.8515134271
Brunei,Export value index (2000 = 100),,2011,196.2159800778
Cambodia,Export value index (2000 = 100),Southeast Asia,2011,78.4804073342
China,Export value index (2000 = 100),East Asia,2011,83.5015491729
Cyprus,Export value index (2000 = 100),,2011,55.1692117897
Georgia,Export value index (2000 = 100),,2011,99.3104073972
"Hong Kong, China",Export value index (2000 = 100),,2011,89.2430906999
India,Export value index (2000 = 100),South Asia,2011,113.0449171212
Indonesia,Export value index (2000 = 100),Southeast Asia,2011,135.3341911801
"Iran, Islamic Rep.",Export value index (2000 = 100),,2011,187.8335111825
Iraq,Export value index (2000 = 100),West Asia,2011,144.5468771191
Israel,Export value index (2000 = 100),West Asia,2011,105.8268582951
Japan,Export value index (2000 = 100),East Asia,2011,131.7259760098
Jordan,Export value index (2000 = 100),West Asia,2011,102.2146620887
Kazakhstan,Export value index (2000 = 100),Central Asia,2011,183.5154872452
"Korea, Rep.",Export value index (2000 = 100),East Asia,2011,105.4024006311
Kuwait,Export value index (2000 = 100),West Asia,2011,188.6520135464
Kyrgyz Republic,Export value index (2000 = 100),Central Asia,2011,137.2901345731
Lao PDR,Export value index (2000 = 100),,2011,59.933402758
Lebanon,Export value index (2000 = 100),West Asia,2011,142.2571926734
Malaysia,Export value index (2000 = 100),Southeast Asia,2011,114.0706760077
Maldives,Export value index (2000 = 100),South Asia,2011,144.5082878109
Mongolia,Export value index (2000 = 100),East Asia,2011,103.17392329
Myanmar,Export value index (2000 = 100),Southeast Asia,2011,80.8312333787
Nepal,Export value index (2000 = 100),South Asia,2011,127.551344649
Oman,Export value index (2000 = 100),West Asia,2011,147.5006167023
Pakistan,Export value index (2000 = 100),South Asia,2011,114.9098606964
Philippines,Export value index (2000 = 100),Southeast Asia,2011,82.1132045603
Qatar,Export value index (2000 = 100),West Asia,2011,146.7826291309
Russian Federation,Export value index (2000 = 100),,2011,152.8945372223
Saudi Arabia,Export value index (2000 = 100),West Asia,2011,179.1691138279
Singapore,Export value index (2000 = 100),Southeast Asia,2011,116.4728585452
Sri Lanka,Export value index (2000 = 100),South Asia,2011,97.055895283
Syrian Arab Republic,Export value index (2000 = 100),,2011,1185.8080670133
Tajikistan,Export value index (2000 = 100),Central Asia,2011,141.1183471562
Thailand,Export value index (2000 = 100),Southeast Asia,2011,103.8571115711
Turkey,Export value index (2000 = 100),West Asia,2011,89.3528813686
Turkmenistan,Export value index (2000 = 100),Central Asia,2011,129.9999999875
United Arab Emirates,Export value index (2000 = 100),West Asia,2011,100.5193368711
Uzbekistan,Export value index (2000 = 100),Central Asia,2011,140.3542937251
Vietnam,Export value index (2000 = 100),Southeast Asia,2011,59.7944532314
Yemen,Export value index (2000 = 100),West Asia,2011,1362.6670566999
Afghanistan,Export value index (2000 = 100),South Asia,2012,75.0611212622
Armenia,Export value index (2000 = 100),,2012,92.92199352
Azerbaijan,Export value index (2000 = 100),,2012,196.6818222852
Bahrain,Export value index (2000 = 100),West Asia,2012,119.5137631742
Bangladesh,Export value index (2000 = 100),South Asia,2012,77.6037024292
Bhutan,Export value index (2000 = 100),South Asia,2012,97.4608215504
Brunei,Export value index (2000 = 100),,2012,204.6516563119
Cambodia,Export value index (2000 = 100),Southeast Asia,2012,91.754890943
China,Export value index (2000 = 100),East Asia,2012,90.1140460221
Cyprus,Export value index (2000 = 100),,2012,52.7906060965
Georgia,Export value index (2000 = 100),,2012,107.794211053
"Hong Kong, China",Export value index (2000 = 100),,2012,96.556533298
India,Export value index (2000 = 100),South Asia,2012,110.7768972587
Indonesia,Export value index (2000 = 100),Southeast Asia,2012,126.3793914419
"Iran, Islamic Rep.",Export value index (2000 = 100),,2012,154.1672002909
Iraq,Export value index (2000 = 100),West Asia,2012,163.939482858
Israel,Export value index (2000 = 100),West Asia,2012,98.5595419374
Japan,Export value index (2000 = 100),East Asia,2012,127.7868930215
Jordan,Export value index (2000 = 100),West Asia,2012,100.6843495457
Kazakhstan,Export value index (2000 = 100),Central Asia,2012,188.1131719062
"Korea, Rep.",Export value index (2000 = 100),East Asia,2012,104.0082080668
Kuwait,Export value index (2000 = 100),West Asia,2012,219.7098220794
Kyrgyz Republic,Export value index (2000 = 100),Central Asia,2012,131.3861523401
Lao PDR,Export value index (2000 = 100),,2012,62.1538579306
Lebanon,Export value index (2000 = 100),West Asia,2012,141.0265072221
Malaysia,Export value index (2000 = 100),Southeast Asia,2012,113.7964320511
Maldives,Export value index (2000 = 100),South Asia,2012,131.1587923776
Mongolia,Export value index (2000 = 100),East Asia,2012,93.9048679716
Myanmar,Export value index (2000 = 100),Southeast Asia,2012,77.6714090711
Nepal,Export value index (2000 = 100),South Asia,2012,126.4111541043
Oman,Export value index (2000 = 100),West Asia,2012,163.3065787405
Pakistan,Export value index (2000 = 100),South Asia,2012,111.2189972409
Philippines,Export value index (2000 = 100),Southeast Asia,2012,88.5636054975
Qatar,Export value index (2000 = 100),West Asia,2012,170.5273305719
Russian Federation,Export value index (2000 = 100),,2012,155.0165632346
Saudi Arabia,Export value index (2000 = 100),West Asia,2012,190.8134186822
Singapore,Export value index (2000 = 100),Southeast Asia,2012,116.1571036528
Sri Lanka,Export value index (2000 = 100),South Asia,2012,88.9394585695
Syrian Arab Republic,Export value index (2000 = 100),,2012,345.085498949
Tajikistan,Export value index (2000 = 100),Central Asia,2012,152.6723557295
Thailand,Export value index (2000 = 100),Southeast Asia,2012,106.9040587276
Turkey,Export value index (2000 = 100),West Asia,2012,100.9799990118
Turkmenistan,Export value index (2000 = 100),Central Asia,2012,164.9999999937
United Arab Emirates,Export value index (2000 = 100),West Asia,2012,119.719173532
Uzbekistan,Export value index (2000 = 100),Central Asia,2012,118.7113148997
Vietnam,Export value index (2000 = 100),Southeast Asia,2012,70.668815115
Yemen,Export value index (2000 = 100),West Asia,2012,1385.1031071538
Afghanistan,Export value index (2000 = 100),South Asia,2013,90.1238176095
Armenia,Export value index (2000 = 100),,2013,99.6342980973
Azerbaijan,Export value index (2000 = 100),,2013,191.5415343599
Bahrain,Export value index (2000 = 100),West Asia,2013,132.5842551887
Bangladesh,Export value index (2000 = 100),South Asia,2013,89.915592649
Bhutan,Export value index (2000 = 100),South Asia,2013,98.9861894789
Brunei,Export value index (2000 = 100),,2013,180.1951214219
Cambodia,Export value index (2000 = 100),Southeast Asia,2013,78.0328299831
China,Export value index (2000 = 100),East Asia,2013,97.1645521205
Cyprus,Export value index (2000 = 100),,2013,61.2761038598
Georgia,Export value index (2000 = 100),,2013,132.0470465394
